"conversation_id","fecha","producto","canal","tiempo_total_seg","tiempo_primera_respuesta_seg","resultado_final","escalo","motivo_escalamiento","intencion_principal","intencion_secundaria","emocion_inicial","emocion_final","nivel_frustracion","riesgo_churn","workflow_utilizado","nodo_inicial","nodo_final","atributos_detectados","pautas_utilizadas","pautas_que_debieron_activarse","articulos_kb_utilizados","articulos_que_debieron_utilizarse","preguntas_realizadas","numero_intentos_usuario","calidad_diagnostico","error_principal_fin","causa_raiz","que_habria_hecho_agente_experto","nueva_pauta_sugerida","ajuste_pauta_existente","nuevo_atributo_sugerido","articulo_conocimiento_faltante","prompt_susceptible_mejora","severidad_problema","confianza_analisis"
"215474851839804","2026-06-26 01:23 UTC","Restobar","Chat Intercom","3931","625","Sin resolver — sistema bloqueado por suscripción vencida; amenaza de churn; rating 1","true","Suscripción vencida bloqueando sistema en horario de servicio activo con clientes","Reactivar sistema (suscripción vencida con clientes en local)","Resolver pago PSE fallando","Negativa","Muy negativa","80","70","Restobar IA","Diagnóstico","Escalamiento humano","Pago PSE vencido|IACR Cambio de Intención|Urgency Media|Correctamente Validado","657943 Resumen|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884123 Escalamiento","884168 Contención espera|escalamiento urgente por riesgo operativo + churn","Cómo configurar acceso usuarios a mesas|Cómo realizar pago suscripción con Loggro Admin|Solución a errores al iniciar sesión","Únicamente artículo de pago de suscripción; artículo de mesas fue incorrecto","4","3","25","Envió artículo incorrecto de permisos de mesa; no detectó urgencia máxima (clientes en local + sistema caído)","IACR Cambio de Intención y URL subscription-payments deberían haber disparado escalamiento urgente inmediato","Escalar en menos de 2 turnos indicando: suscripción vencida + clientes en local + PSE fallando = emergencia billing urgente","Si URL es subscription-payments + usuario menciona clientes activos + sistema caído, escalar como P1 sin diagnóstico adicional","884123 Escalamiento humano: añadir condición de urgencia P1 para suscripción vencida con impacto operativo activo","suscripcion_vencida_operativo_activo (boolean)","","Lógica de urgencia: combinar URL de pagos + menciones de clientes activos + sistema no funciona = escalamiento inmediato P1","4","90"
"215474851764270","2026-06-26 01:10 UTC","Restobar","Chat Intercom","2889","147","Abandono — usuario dejó el chat sin confirmar acción","true","Problema de sincronización (mesa abierta post-factura) requería validación backend","Cerrar mesa que quedó abierta después de facturar","","Negativa","Confundida","45","20","Restobar IA","Novedad sincronización","Escalamiento humano","Factura pendiente|Diagnóstico Técnico Sin Contexto|Urgency Baja","731462 Novedad sincronización|884013 Personalidad","635548 Diagnóstico previo|884026 Obtención contexto|883970 Claridad","","Cómo anular un pedido pendiente en Restobar|Qué hacer si la mesa queda abierta después de facturar","2","1","30","Escaló demasiado rápido (solo 2 pautas, ningún artículo); podía haber guiado al usuario a cancelar el pedido de la mesa antes de escalar","FIN no tiene guía para el escenario mesa abierta post-factura; escenario no cubierto en KB","Explicar que la mesa quedó abierta por pedido sin cerrar; guiar a cancelar ese pedido SIN pagar de nuevo","Para mesa abierta post-factura: guiar a cancelar el pedido pendiente; advertir explícitamente que NO debe pagar de nuevo","731462 Novedad sincronización: añadir caso específico de mesa abierta post-pago","mesa_abierta_post_factura (boolean)","Mesa sigue abierta después de generar factura: cómo cancelar el pedido sin generar doble cobro","Árbol de sincronización: añadir nodo para mesa abierta post-factura con instrucción de cancelación de pedido","3","85"
"215474851495555","2026-06-26 00:29 UTC","Restobar","Chat Intercom","3615","2614","Sin resolver — limitación de plataforma (combos imprimen en 1 zona solamente)","true","Problema persiste después de seguir guía de FIN","Que combos impriman en zonas separadas (cocina y bar)","","Neutral","Frustrada","55","20","Restobar IA","Diagnóstico","Escalamiento humano","Organizar combos|IACR Usuario Avanzado|Urgency Baja|Validación Parcial","628279 Resolución progresiva|628310 Escalamiento persistencia|657943 Resumen|675465 Escalamiento fallido|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881679 Claridad|881687 Frustración|883970 Claridad|884013 Personalidad|884062 KB","","Cómo crear zonas de impresión comanda|Configuraciones avanzadas productos|Cómo crear combo","Artículo sobre limitaciones de combos en zonas de impresión","5","2","20","Dio información incorrecta — sugirió que era posible asignar zonas por componente de combo cuando es una limitación de la plataforma","KB de FIN no incluye las limitaciones de la función de combos; FIN generalizó desde el comportamiento de productos individuales a combos","Decir inmediatamente: en Restobar los combos tienen una sola zona de impresión; alternativa: crear ítems separados en lugar de combo","Para consultas de zonas de impresión de combos, informar la limitación de plataforma antes de intentar configuración","","","Limitación de combos: zona de impresión única — alternativa con ítems separados","KB de combos: añadir nota explícita de que la zona de impresión aplica al combo completo, no por componente","2","90"
"215474851587202","2026-06-26 00:45 UTC","Restobar","Chat Intercom","1661","263","Resuelto por agente — informó fecha de vencimiento del plan","true","Usuario pidió agente; FIN no podía verificar fecha de vencimiento","Consultar fecha de vencimiento del plan","","Neutral","Positiva","25","10","Restobar IA","Diagnóstico Técnico Sin Contexto","Escalamiento humano","Pago de un mes|IACR Cambio de Intención|Urgency Baja","805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881679 Claridad|883970 Claridad|884013 Personalidad|884123 Escalamiento|884168 Contención","884026 Obtención contexto (preguntar qué necesita antes de asumir)","Cómo realizar pago suscripción con Loggro Admin","","3","1","35","FIN asumió que usuario quería pagar sin preguntar la intención; IACR Cambio de Intención confirma que el usuario quería consultar, no pagar","URL invoice-print + contexto de suscripción llevó a FIN a asumir intención de pago; falta de pregunta de clarificación inicial","Preguntar: ¿Deseas realizar un pago o consultar información sobre tu plan actual?","Antes de enviar pasos de pago, preguntar si el usuario desea pagar o consultar estado del plan","884026 Obtención contexto: aplicar para suscripción (¿pagar o consultar?)","consulta_vs_accion (enum: consulta/accion)","","Nodo de suscripción: bifurcar entre consulta de estado y proceso de pago","1","90"
"215474851192878","2026-06-25 23:39 UTC","Restobar","Chat Intercom","2996","228","Sin completar — DIAN página caída (factor externo)","true","Usuario solicitó agente después de recibir la guía","Activar facturación electrónica por primera vez","","Neutral","Neutral","15","10","Restobar IA","Diagnóstico","Escalamiento humano","Activar factura electrónica|IACR Usuario Básico|Urgency Baja|Fuera de horario","635585 Optimización preguntas|805165 Emocional|834370 Restricción Pymes|878262 Reducción|878283 Continuidad|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884062 KB|884123 Escalamiento|884168 Contención","","Habilitación FE en Restobar Loggro|FE en Restobar: Guía Completa|Cómo activar o desactivar la FE","","3","1","70","Ninguno — FIN funcionó correctamente; el bloqueo fue externo (DIAN caída)","Problema externo en página DIAN fuera de control de FIN o agente","Idéntico a lo que hizo FIN + agente","","","","Qué hacer si la página DIAN está caída durante el proceso de habilitación FE","","2","85"
"215474851035023","2026-06-25 23:13 UTC","Restobar","Chat Intercom","3104","487","Parcialmente resuelto — agente identificó limitación de plan (30 docs/mes)","true","Diagnóstico requería acceso a información de plan del usuario","Emitir facturas electrónicas (sin cupo disponible)","","Neutral","Neutral","35","20","Restobar IA","Diagnóstico previo","Escalamiento humano","Factura electrónica|IACR Usuario Básico|Urgency Baja|Validación Parcial","628279 Resolución progresiva|628310 Escalamiento persistencia|635546 Diagnóstico|635548 Diagnóstico previo|657943 Resumen|657944 Contexto|672790 Contexto documentos FE|675465 Escalamiento fallido|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881687 Frustración|883970 Claridad|884013 Personalidad|884062 KB|884123 Escalamiento|884168 Contención","","Cómo actualizar la resolución de FE en Restobar","Artículo sobre planes y límites de documentos FE por plan","5","2","60","FIN no preguntó por tipo de plan temprano; tardó en descartar hipótesis de resolución cuando el problema era el plan","FIN no tiene visibilidad del tipo de plan del cliente; artículo de planes con límites de documentos no está en KB","Preguntar temprano: ¿Sabes qué plan de FE tienes? ¿Tienes un límite de documentos por mes?","Para documentos disponibles = 0, preguntar por tipo de plan antes de ir a configuración de resolución","672790 Contexto documentos FE: añadir pregunta sobre límite de plan","limite_documentos_fe (integer)","Planes de facturación electrónica: límites por plan y cómo adquirir más documentos","Árbol FE: añadir bifurcación ¿cuántos documentos disponibles? Si 0, verificar plan antes de resolución","3","80"
"215474850202077","2026-06-25 21:51 UTC","Restobar","Chat Intercom","5646","67","Resuelto — débito automático desactivado en sede correspondiente","true","Usuario pidió asesor real inmediatamente","Reclamar cargo automático inesperado","","Negativa","Neutral","45","30","Restobar IA","Personalidad","Escalamiento humano","Requerir agente humano|Urgency N/D","884013 Personalidad|884123 Escalamiento","","","","1","1","50","Ninguno — FIN escaló correctamente y rápido (ttfa=67s excelente)","Problema de débito automático en cuenta multi-sede requería acceso admin; FIN no podía ayudar","Idéntico a FIN","","","","","","3","85"
"215474849969071","2026-06-25 21:11 UTC","Restobar","Chat Intercom","5282","230","Resuelto — agente explicó entrada por compra sin salida de caja = deuda pendiente","true","Usuario solicitó agente tras pregunta sobre registro de deuda","Registrar deuda de proveedor por compra de inventario","","Neutral","Positiva","30","10","Restobar IA","Validación Parcial","Escalamiento humano","Pendiente de pago|IACR Cambio de Intención|Urgency Baja","628279 Resolución progresiva|628310 Escalamiento persistencia|635585 Optimización|675465 Escalamiento fallido|805165 Emocional|834370 Restricción Pymes|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881687 Frustración|883970 Claridad|884013 Personalidad|884026 Contexto|884123 Escalamiento|884168 Contención","635546 Diagnóstico: preguntar tipo de proveedor antes de responder","Cómo crear un proveedor|Cómo crear proveedor de domicilio","Cómo registrar compras a proveedores de inventario con deuda pendiente","5","2","40","FIN respondió inicialmente sobre proveedor de domicilio (delivery) cuando usuario preguntaba sobre proveedor de inventario","Sin pregunta de clarificación inicial sobre tipo de proveedor; FIN asumió domicilio por contexto de URL","Preguntar: ¿Es un proveedor de entrega (domicilio) o un proveedor de insumos/inventario?","Para crear proveedor, preguntar primero si es proveedor de domicilio o de inventario/insumos","635546 Diagnóstico: añadir bifurcación de tipo de proveedor como primer paso","tipo_proveedor (enum: domicilio/inventario)","Cómo registrar una compra a crédito a proveedor de inventario (deuda pendiente sin salida de caja)","Árbol de proveedores: bifurcar domicilio vs inventario en nodo inicial","2","85"
"215474849488509","2026-06-25 20:18 UTC","Restobar","Chat Intercom","4777","437","Resuelto — agente subió logo desde backend; archivo alternativo funcionó","true","Error de backend al subir logo no resoluble por usuario","Subir logo para facturas (90x60 JPG)","","Neutral","Positiva","30","10","Restobar IA","Diagnóstico","Escalamiento humano","Error al cargar logo|IACR Usuario Básico|Urgency Baja|Validación Parcial","628279 Resolución progresiva|628299 Escalamiento tras validación intentos|628310 Escalamiento persistencia|628317 Prioridad resolución|657943 Resumen|657944 Contexto|675465 Escalamiento fallido|805165 Emocional|834370 Restricción Pymes|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881684 Aclara|881687 Frustración|883970 Claridad|884013 Personalidad|884026 Contexto|884062 KB|884123 Escalamiento","","Cómo configurar información de la factura|Cómo configurar datos básicos del negocio","","4","2","65","Ninguno significativo — FIN siguió el protocolo correcto (2 intentos, luego escalamiento)","Error de servidor al procesar imagen (backend); requería intervención de admin para subir directamente","Idéntico a FIN","","","","Error al subir logo: qué hacer si el servidor no procesa la imagen (escalamiento directo)","","2","85"
"215474849031198","2026-06-25 19:36 UTC","Restobar","Chat Intercom","2811","505","Parcialmente resuelto — resolución obtenida; DIAN pendiente (espera de 2 horas)","true","Usuario solicitó agente después de que FIN entró en bucle circular","Habilitar facturación electrónica (pasos siguientes después de resolución)","","Neutral","Neutral","35","10","Restobar IA","Diagnóstico","Escalamiento humano","Habilitar facturación electrónica|IACR Usuario Básico|Urgency Baja|Correctamente Validado","628279 Resolución progresiva|628310 Escalamiento persistencia|675465 Escalamiento fallido|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|881675 Ruido|881679 Claridad|881687 Frustración|883970 Claridad|884013 Personalidad|884123 Escalamiento|884168 Contención","","Habilitación FE en Restobar Loggro|FE en Restobar: Guía Completa|Cómo activar o desactivar FE","","4","2","55","FIN entró en bucle circular después de que usuario confirmó opción activada: ofreció repetidamente conectar con agente en lugar de guiar al siguiente paso","Falta de lógica de progresión de pasos en el flujo FE: después de opción activada, FIN no sabe qué viene después (DIAN association)","Decir: Ahora debes asociar tu empresa en el portal DIAN. ¿Necesitas los pasos para hacerlo?","","","","","Flujo de habilitación FE: añadir nodo de progresión automática después de opción activada hacia asociación DIAN","2","85"
"215474848280738","2026-06-25 18:16 UTC","Restobar","Chat Intercom","4961","245","Resuelto — agente diagnosticó cruce de días en datáfono y guió cierre","true","Problema de caja cruzada con ayer requería acceso a historial","Cerrar caja sin ver ventas de datáfono","Cierre de caja del día anterior aún abierta","Neutral","Positiva","40","15","Restobar IA","Diagnóstico","Escalamiento humano","Cierre de caja|IACR Riesgo Operativo|Urgency Baja|Validación Parcial","657943 Resumen|731462 Sincronización|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881679 Claridad|881687 Frustración|883970 Claridad|884013 Personalidad","884123 Escalamiento humano (ausente en pautas — escaló por trigger de workflow)","Recomendaciones para el manejo del arqueo de caja","Cómo cerrar caja del día anterior|Cómo interpretar ventas de datáfono en cuadre de caja","3","2","55","FIN perdió la señal caja de ayer sigue abierta que habría cambiado el diagnóstico; artículo de arqueo genérico insuficiente","FIN no tiene artículo sobre caja de día anterior abierta como escenario específico","Al escuchar la de ayer sigue abierta, identificar inmediatamente cruce de días y escalar con ese contexto específico","Si usuario menciona que caja de día anterior sigue abierta, escalar inmediatamente con contexto de cruce de días","731462 Sincronización: añadir caso de caja del día anterior abierta","caja_anterior_abierta (boolean)","Cómo cerrar una caja del día anterior que quedó abierta","Árbol de cierre de caja: añadir bifurcación ¿hay una caja del día anterior sin cerrar?","3","80"
"215474846335711","2026-06-25 17:10 UTC","Restobar","Chat Intercom","5367","2275","Sin resolver — versión antigua de comanda; usuario no respondió para conexión remota; rating 2","true","Instalación guiada no resolvió problema de impresión","Acceder a página principal bloqueada por popup de nueva comanda","Que la comanda imprima correctamente","Neutral","Negativa","55","20","Restobar IA","Diagnóstico","Escalamiento humano","Acceso página principal|IACR Usuario Básico|Urgency Baja|Validación Parcial","627447 Preguntas inteligentes|628240 Ajuste dinámico|628260 Razonamiento adaptativo|628279 Resolución progresiva|628310 Escalamiento persistencia|635546 Diagnóstico|657943 Resumen|657944 Contexto|675465 Escalamiento fallido|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881687 Frustración|883970 Claridad|884013 Personalidad|884026 Contexto|884062 KB|884123 Escalamiento|884168 Contención","","Cómo pagar suscripción|Solución errores inicio sesión|Cómo instalar comanda Windows|Cómo instalar comanda Mac|Comanda no imprime: guía|Lo Nuevo Restobar Marzo 2026","Cómo verificar versión de comanda instalada","9","4","30","Diagnóstico inicial incorrecto (suscripción); luego guió instalación completa sin verificar versión instalada; ttfa=2275s (37 min) muy alto","FIN no preguntó versión de comanda instalada antes de iniciar reinstalación; el problema era incompatibilidad de versión","Preguntar versión de comanda instalada al inicio; si versión antigua, indicar actualización antes de reinstalación","Para problemas de comanda, preguntar versión instalada antes de guiar instalación o configuración","635546 Diagnóstico: añadir verificación de versión de comanda como primer paso","version_comanda (string)","Cómo verificar e instalar la versión correcta de la aplicación Comanda","Árbol de comanda: primer nodo debe ser ¿qué versión tiene instalada? antes de ir a instalación/configuración","3","85"
"215474655520773","2026-06-11 17:00 UTC","Restobar","Chat Intercom","13024","196","Queja formal — usuario (contador experto) presentó carta de queja; sin resolución; rating 1","true","Pasos estándar ya agotados por usuario experto; problema persistió","Resolver facturas represadas que no sincronizan a Pymes","","Negativa","Muy negativa","90","60","Restobar IA","Diagnóstico previo","Escalamiento humano","Facturas represadas|IACR Usuario Avanzado|Urgency Media|Validación Parcial","619854 Prevención frustración|628279 Resolución progresiva|628310 Escalamiento persistencia|635546 Diagnóstico|635548 Diagnóstico previo|657943 Resumen|675465 Escalamiento fallido|805165 Emocional|805168 Ruido|841990 Prompt base|842008 Personalidad|842015 Contexto|842047 Calidad respuestas","Pauta de reconocimiento de usuario experto que ya agotó pasos estándar para escalar a L2 directamente","Cómo reenviar facturas masivamente de Restobar a Loggro Pymes","","3","1","40","FIN fue aceptable (escaló rápido tras confirmación de pasos agotados). El fallo crítico fue del agente humano (loop de 2 horas, cerró chat unilateralmente)","Sin pauta de escalamiento L2 para usuario experto que declaró haber agotado pasos básicos; agente no reconoció perfil de usuario avanzado","Al escuchar ya hice todo eso y tengo un error diferente, escalar a soporte técnico L2 o equipo Pymes sin repetir pasos básicos","Si usuario identifica su perfil como experto o dice que ya realizó los pasos estándar, incluir nota de escalamiento L2 y no repetir pasos básicos","628310 Escalamiento persistencia: añadir subclasificación de escalamiento L1 vs L2 según perfil de usuario","nivel_usuario (enum: basico/intermedio/avanzado/experto)","Protocolo de escalamiento L2 para sincronización Pymes con error persistente","Nota de escalamiento: cuando IACR = Usuario Avanzado y usuario declara pasos agotados, incluir en nota NO repetir pasos estándar — ir directo a L2 técnico","5","90"
